Characteristic,Number of viewers in thousands
April 2021,111.0
March 2021,118.0
February 2021,122.0
January 2021,108.0
December 2020,96.99
November 2020,106.29
October 2020,66.99
September 2020,54.13
August 2020,54.16
July 2020,71.07
June 2020,54.01
May 2020,55.28
April 2020,57.2
March 2020,30.82
February 2020,24.7
January 2020,25.18
December 2019,22.81
November 2019,21.92
October 2019,20.32
September 2019,32.79
August 2019,44.01
July 2019,25.15
June 2019,23.72
May 2019,11.98
April 2019,8.55
March 2019,7.31
February 2019,9.33
January 2019,14.53
December 2018,8.58
November 2018,5.96
October 2018,5.91
September 2018,5.6
August 2018,7.17
July 2018,7.06
June 2018,4.27
May 2018,4.13
April 2018,5.55
March 2018,4.87
February 2018,4.96
January 2018,5.37
