Characteristic,Facebook fans in millions
New York Yankees,8.52
Boston Red Sox,5.25
Chicago Cubs,3.43
Los Angeles Dodgers,3.41
San Francisco Giants,2.97
St. Louis Cardinals,2.4
Detroit Tigers,2.33
Texas Rangers,2.32
Atlanta Braves,2.25
Toronto Blue Jays,1.73
Philadelphia Phillies,1.69
Chicago White Sox,1.64
New York Mets,1.52
Houston Astros,1.42
Cleveland Indians,1.36
Los Angeles Angels,1.33
Kansas City Royals,1.25
Cincinnati Reds,1.25
Baltimore Orioles,1.24
Seattle Mariners,1.22
Minnesota Twins,1.21
Pittsburgh Pirates,1.18
Milwaukee Brewers,1.11
Colorado Rockies,0.93
Oakland Athletics,0.81
Arizona Diamondbacks,0.77
San Diego Padres,0.75
Washington Nationals,0.73
Tampa Bay Rays,0.73
Miami Marlins,0.72
