Characteristic,Market capitalization in million U.S. dollars
Alnylam Pharmaceuticals,4410
Kite Pharma**,4304
Neurocine Biosciences,3772
bluebird bio,3713
Ultragenyx Pharmaceutical**,2828
Sage Therapeutics**,2649
Agios Pharmaceuticals,2466
Intrexon,2353
Juno Therapeutics**,2353
Portola Pharmaceuticals,2216
AveXis,2109
Radius Health**,1669
Spark Therapeutics**,1656
FibroGen**,1575
Aerie Therapeutics,1525
Blueprint Medicines**,1524
Array Biopharma,1511
TherapeuticsMD,1422
Puma Biotechnology,1375
Emergent BioSolutions,1182
