Characteristic,Share of internet users
Using text messaging or instant messaging,92.3%
Using e-mail,90.3%
Watching video online,74.3%
Using online social networks,73.7%
"Shopping, making reservations, or using other consumer services online",72.2%
"Using online financial services (banking, investing, paying bills etc.)",69.9%
"Streaming or downloading music, radio, podcasts etc.",55.9%
Participating in online video calls or conferences,50.8%
Requesting services provided by other people via the internet,33.8%
Working remotely via internet,23.8%
Searching for a job online,20.5%
Interacting with household equipment via internet,17.5%
"Publishing or uploading blog posts, videos, or other original content",16.7%
Selling goods via the internet,11.3%
Offering services for sales via the internet,7.6%
