Characteristic,Gross domestic product in billion international dollars
2026*,6.19
2025*,5.94
2024*,5.7
2023*,5.43
2022*,5.08
2021*,4.63
2020*,4.37
2019,5.21
2018,5.09
2017,4.98
2016,4.83
2015,4.72
2014,4.7
2013,4.68
2012,4.61
2011,4.66
2010,4.53
2009,4.47
2008,4.79
2007,4.67
2006,4.22
2005,3.82
2004,3.44
2003,3.21
2002,3.11
2001,3.06
2000,3.06
1999,2.97
1998,2.83
1997,2.51
1996,2.38
1995,2.23
1994,2.16
1993,2.08
1992,1.96
1991,2.03
1990,2.02
1989,2.02
1988,1.82
1987,1.71
1986,1.56
