Characteristic,Feed and residual,"Food, seed and industrial",Total
2020,5903,6282,12185
2019,5275,6790,12065
2018,5432,6791,12223
2017,5304,7056,12360
2016,5470,6885,12355
2015,5114,6648,11763
2014,5280,6601,11881
2013,5040,6493,11534
2012,4315,6038,10353
2011,4519,6424,10943
2010,4777,6426,11202
2009,5101,5961,11062
2008,5133,5025,10207
2007,5858,4442,10300
2006,5540,3541,9081
2005,6115,3019,9134
2004,6155,2687,8842
2003,5795,2537,8332
2002,5563,2340,7903
2001,5864,2046,7911
