Industry,Real value added in billion chained (2012) U.S. dollars
Information,103.88
"Finance, insurance, real estate, rental, and leasing",89.57
Government and government enterprises,62.66
Manufacturing,56.91
Professional and business services,59.56
Retail trade,51.12
"Educational services, health care, and social assistance",34.44
Wholesale trade,25.42
Construction,19.38
"Arts, entertainment, recreation, accommodation, and food services",13.32
Transportation and warehousing,12.06
"Agriculture, forestry, fishing, and hunting",11.21
Utilities,4.54
"Mining, quarrying, and oil and gas extraction",0.39
