Characteristic,Money raised in million U.S. dollars
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2014)",1.01
"Summer Games Done Quick (Doctors Without Borders, June 2014)",0.71
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2015)",1.57
"Summer Games Done Quick (Doctors Without Borders, July 2015)",1.2
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2016)",1.2
"Summer Games Done Quick (Doctors Without Borders, July 2016)",1.3
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2017)",2.2
"Summer Games Done Quick (Doctors Without Borders, July 2017)",1.7
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2018)",2.2
"Summer Games Done Quick (Doctors Without Borders, July 2018)",2.1
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2019)",2.39
"Summer Games Done Quick (Doctors Without Borders, June 2019)",3.0
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2020)",3.1
"Summer Games Done Quick (Doctors Without Borders, August 2020)",2.3
"Awesome Games Done Quick (Prevent Cancer Foundation, January 2021)",2.76
