Characteristic,Payroll costs for match operations,Commercial/administrative staff,Transfers,Match operations,"Youth, amateurs. academies",Other
2018/19,1431.63,269.15,842.45,428.57,144.15,775.81
2017/18,1317.8,260.28,839.02,420.32,140.84,733.54
2016/17,1184.64,211.23,672.76,380.62,121.73,654.21
2015/16,1058.84,206.04,511.96,372.81,109.91,778.6
2014/15,997.54,180.45,373.63,335.18,93.92,590.89
2013/14,899.99,163.28,318.05,303.63,90.18,632.32
2012/13,847.47,127.23,290.67,321.62,79.3,443.66
2011/12,787.66,109.83,296.12,329.66,76.79,426.39
2010/11,780.85,93.51,266.69,301.57,70.86,375.98
2009/10,750.08,94.96,283.26,284.25,66.18,369.31
2008/09,678.23,87.11,250.72,263.59,55.01,349.56
