Characteristic,Inflation rate compared to previous year
2026*,1.9%
2025*,1.9%
2024*,1.76%
2023*,1.6%
2022*,1.5%
2021*,1.42%
2020*,0.38%
2019,1.14%
2018,1.17%
2017,0.84%
2016,0.39%
2015,0.21%
2014,1.21%
2013,2.22%
2012,3.16%
2011,3.32%
2010,1.69%
2009,1.63%
2008,3.92%
2007,1.58%
2006,1.28%
2005,0.77%
2004,0.15%
2003,1.29%
2002,2.01%
2001,2.67%
2000,2.95%
1999,1.31%
1998,1.35%
1997,1.22%
1996,1.06%
1995,0.4%
1994,1.61%
1993,3.33%
1992,3.25%
1991,4.55%
1990,4.96%
1989,6.57%
1988,5.14%
1987,4.08%
1986,2.9%
