Characteristic,Share of respondents
I closed the hotel,78.5%
I've turned a hotel into an isolation facility or a hotel for medics,2.8%
I plan to apply for a grant to support my employees,81%
I laid off my contract workers in March,38%
I plan to lay off my contract workers in April,43%
I sent the contract workers on idle time,51%
I've sent contracted employees to take overdue and current vacations,86%
I fired the contractors in March,54%
I plan to fire the contractors in April,28%
I sent the contractors on idle time,27%
I've sent contractors to take overdue and current vacations,15%
I plan to apply for a grant to support contractors,35%
I've issued vouchers,73%
I've postponed refunds of deposits for 180 days,70%
I canceled the reservation and returned the deposit,86%
I applied for the cancellation of social security contributions (ZUS),72%
I requested a deferment of social security contributions (ZUS),63%
I requested a PIT deferment,72%
I requested a VAT deferment,70%
I requested a CIT deferment,59%
I've been applying for help in paying for the land lease,21%
I've been applying for help with the payment of property tax,67%
I've been applying for help with the waste disposal charges,48%
