Characteristic,Audience in million viewers
"Titanic(J. Cameron, 1998, US)",21.78
"Bienvenue chez les Ch'tis(D. Boon, 2008, FR)",20.44
"Intouchables(E. Tolédano, O. Nakache, 2011, FR)",19.51
"La Grande Vadrouille(G. Oury, 1966, FR/GB)",17.33
"Gone with the wind(V. Fleming, 1950, US)",16.73
"C'era una volta il West(S. Leone, 1969, IT)",14.88
"Avatar(J. Cameron, 2009, US)",14.78
"The Jungle Book(W. Reitherman, 1968, US)",14.78
"One Hundred and One Dalmatians(W. Disney, 1961, US)",14.7
"Astérix et Obélix : mission Cléopâtre(A. Chabat, 2002, FR)",14.41
"The Ten Commandments(C.B. DeMille, 1958, US)",14.24
"Ben Hur(W. Wyler, 1960, US)",13.86
"Les Visiteurs(J.M. Poiré, 1993, FR)",13.67
"The Bridge on the River Kwai(D. Lean, 1957, GB)",13.48
"Cinderella(W.Disney, 1950, US)",13.27
