Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",66.58
Professional and business services,56.08
Government and government enterprises,39.58
Manufacturing,25.64
Information,28.48
"Educational services, health care, and social assistance",23.78
"Mining, quarrying, and oil and gas extraction",20.22
Retail trade,19.44
Wholesale trade,18.65
Construction,17.14
"Arts, entertainment, recreation, accommodation, and food services",12.36
Transportation and warehousing,10.7
Other services (except government and government enterprises),6.43
"Agriculture, forestry, fishing, and hunting",3.33
Utilities,3.88
