Characteristic,Turnover in million SEK
Peab AB,54008
Alfa Laval AB,46517
Trelleborg AB,36588
AAK AB (publ),28510
Hexpol AB,15508
Beijer Ref AB (publ),14817
Bergendahl & Son AB,13770
Perstorp Holding AB,11641
Mercedes-Benz Sverige AB,11074
Hilding Anders Holdings 3 AB,10925
E.ON Energilösningar AB,10719
Sony Mobile Communications AB,10647
Höganäs Holding AB,10343
E.ON Energidistribution AB,10123
Lindab International AB,9872
Axis Communications AB,9647
E. ON Sverige AB,9402
Lindéngruppen AB,8588
Stora Enso Paper AB,7955
Nolato AB,7919
