Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",68.98
Professional and business services,30.94
Manufacturing,26.2
"Educational services, health care, and social assistance",24.67
Government and government enterprises,22.73
Information,19.29
Retail trade,13.09
Wholesale trade,12.12
"Arts, entertainment, recreation, accommodation, and food services",5.47
Construction,6.09
Transportation and warehousing,4.11
Utilities,4.22
"Agriculture, forestry, fishing, and hunting",0.56
"Mining, quarrying, and oil and gas extraction",0.19
