Characteristic,GNI per capita in U.S. dollars
2020,31880.6
2019,32204.4
2018,33563.7
2017,31734.1
2016,29394.3
2015,28813.6
2014,29383.9
2013,27351.3
2012,25723.7
2011,25255.8
2010,23117.7
2009,19122.1
2008,21345.3
2007,24026.8
2006,21663.7
2005,19261.8
2004,16476.9
2003,14618.2
2002,13114.6
2001,11484.4
2000,12178.7
1999,10548.8
1998,8189.5
1997,12334.2
1996,13350.6
1995,12522.4
1994,10357.0
1993,8872.4
1992,8113.9
1991,7626.6
1990,6601.5
1989,5800.6
1988,4717.7
1987,3512.2
1986,2774.3
1985,2426.5
1984,2378.9
1983,2174.9
1982,1973.0
1981,1857.1
1980,1698.5
