Characteristic,Number of students
La Sapienza University of Rome,104704
University of Bologna,82107
University of Turin,76865
University of Naples Federico II,75488
University of Milan,62801
University of Padua,61869
Pegaso online University,55400
University of Florence,52832
Polytechnic University of Milan,47482
University of Pisa,45682
University of Bari,42690
Catholic University of Milan,42495
University of Palermo,41788
University of Catania,39119
University of Salerno,35803
Polytechnic University of Turin,34416
University of Milano-Bicocca,34261
Roma Tre University,31561
University of Genoa,31335
University of Rome Tor Vergata,27763
