Characteristic,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,8276.3
Manufacturing,6140.8
Health care and social assistance,5765.6
Public administration,5043.3
Construction,4814.5
Transportation and warehousing,4166.4
Educational services,3652.0
Retail trade,3494.7
Finance and insurance,3431.0
"Agriculture, forestry, fishing and hunting",3265.6
Wholesale trade,3038.9
Utilities,2160.4
"Professional, scientific and technical services",2108.6
"Mining, quarrying, and oil and gas extraction",1930.5
Information and cultural industries,1773.3
Accommodation and food services,1284.2
Other services (except public administration),1150.2
"Administrative and support, waste management and remediation services",1017.5
"Arts, entertainment and recreation",467.9
Management of companies and enterprises,305.1
