Characteristic,Gross domestic product in billion U.S. dollars
2026*,61.72
2025*,57.67
2024*,53.83
2023*,50.16
2022*,46.55
2021*,43.11
2020*,39.38
2019,41.19
2018,40.58
2017,37.78
2016,34.19
2015,33.24
2014,33.24
2013,30.88
2012,27.28
2011,24.14
2010,19.79
2009,17.46
2008,16.79
2007,13.22
2006,11.52
2005,9.57
2004,8.79
2003,8.09
2002,7.92
2001,8.16
2000,8.39
1999,8.27
1998,8.49
1997,7.92
1996,7.38
1995,6.7
1994,5.97
1993,5.73
1992,5.64
1991,5.34
1990,4.87
1989,4.72
1988,4.6
1987,4.32
1986,3.97
