Industry,Real value added in billion chained (2012) U.S. dollars
Professional and business services,73.17
Government and government enterprises,59.56
Manufacturing,53.42
Information,52.06
"Educational services, health care, and social assistance",40.65
Wholesale trade,38.8
Retail trade,31.97
Transportation and warehousing,19.03
Construction,20.16
"Arts, entertainment, recreation, accommodation, and food services",13.51
Utilities,10.22
"Agriculture, forestry, fishing, and hunting",4.3
"Mining, quarrying, and oil and gas extraction",1.35
