Characteristic,Number of cases
Mexico City,655584
State of Mexico,249239
Guanajuato,131775
Nuevo Leon,124082
Jalisco,86847
Puebla,84989
Sonora,74893
Queretaro,68953
Coahuila,68670
Tabasco,67741
San Luis Potosi,64078
Veracruz,61224
Tamaulipas,59087
Chihuahua,55299
Baja California,48942
Michoacan,48175
Oaxaca,47070
Guerrero,40995
Yucatan,39182
Sinaloa,38936
Hidalgo,38854
Durango,34124
Morelos,33367
Baja California Sur,31707
Zacatecas,30705
Aguascalientes,26471
Quintana Roo,26405
Tlaxcala,19893
Nayarit,12142
Colima,11836
Chiapas,11352
Campeche,10105
