Characteristic,Total payroll in million U.S. dollars
Los Angeles Dodgers,272.8
Paris Saint-Germain,227.1
New York Yankees,219.3
Real Madrid,216.0
Manchester City,215.0
FC Barcelona,202.1
Manchester United,200.6
Bayern Munich,191.5
Boston Red Sox,187.4
Chelsea London,186.6
Detroit Tigers,173.8
Arsenal London,173.8
San Francisco Giants,172.7
Washington Nationals,164.9
Los Angeles Angels,150.9
FC Liverpool,150.4
Texas Rangers,142.1
Philadelphia Phillies,135.8
Juventus Turin,127.4
Miami Dolphins,124.3
Cincinnati Bengals,123.3
Green Bay Packers,123.2
Toronto Blue Jays,122.5
Denver Broncos,122.3
Tampa Bay Buccaneers,122.2
St. Louis Cardinals,120.9
Tottenham,120.5
Seattle Mariners,119.8
Chicago Cubs,119.0
Detroit Lions,118.8
