Characteristic,Savings ratio
Q3 2020,18.5%
Q2 2020,35%
Q1 2020,13.5%
Q4 2019,16.7%
Q3 2019,10.6%
Q2 2019,26.2%
Q1 2019,10.5%
Q4 2018,16.5%
Q3 2018,10%
Q2 2018,25.2%
Q1 2018,8.6%
Q4 2017,15.6%
Q3 2017,8.3%
Q2 2017,25%
Q1 2017,9.9%
Q4 2016,16.1%
Q3 2016,10.8%
Q2 2016,26.5%
Q1 2016,10.6%
Q4 2015,15%
Q3 2015,10.6%
Q2 2015,25.7%
Q1 2015,10.4%
Q4 2014,15.3%
Q3 2014,10.1%
Q2 2014,26.4%
Q1 2014,11.2%
Q4 2013,14.6%
Q3 2013,9.5%
Q2 2013,25.4%
Q1 2013,9.5%
Q4 2012,13.6%
Q3 2012,9.6%
Q2 2012,25.4%
Q1 2012,9.6%
Q4 2011,11.5%
Q3 2011,7.3%
Q2 2011,25.7%
Q1 2011,7.6%
Q4 2010,10%
Q3 2010,9.1%
Q2 2010,23.6%
Q1 2010,8.6%
