Characteristic,Total provider revenue in million U.S. dollars
Deloitte Consulting (New York),830.0
Advisory Board Co. (Washington),520.6
Huron Healthcare (Chicago),398.1
Navigant (Chicago),253.4
Accenture (Chicago),250.2
"Booz Allen Hamilton (McLean, Va.)",197.9
FTI Consulting (Washington),192.8
Ernst & Young (New York),160.8
KPMG (New York),109.0
"Quorum Health Resources (Brentwood, Tenn.)",104.8
Croe Horwath (Chicago),97.9
"CTG Health Solutions (Buffalo, N.Y.)",89.7
Perficient (St. Louis),81.7
Alvarez & Marsal Healthcare Industry Group (New York),73.6
"Beacon Partners (Weymouth, Mass.)",59.2
