Characteristic,Aum in billion U.S. dollars
Bridgewater Associates,98.92
Renaissance Technologies,70.0
Man Group,62.3
Millennium Management,43.91
Elliott Management,42.0
BlackRock,39.91
Two Sigma Investments/Advisers,38.84
Citadel,34.34
D.E. Shaw Group,34.26
AQR Capital Management,32.1
Davidson Kempner Capital Management,31.85
Farallon Capital Management,30.0
Baupost Group,29.1
Marshall Wace,27.8
Canyon Capital,22.8
Wellington Alternative Investments,21.0
Viking Global Investors,19.95
