Characteristic,Turnover in million SEK
Outokumpu Stainless AB,15840
Clas Ohlson AB,8772
Stora Enso Skog AB,7798
Stora Enso AB,5579
Stora Enso Fors AB,3177
SkiStar AB,2676
MaserFrakt AB,2434
Dellner Bubenzer Group AB,1976
Bygg Partner i Dalarna Holding AB  (publ),1940
Bergvik Skog Väst AB,1864
Stora Enso Timber AB,1840
Curt Landrin Bil AB,1801
Arctic Paper Grycksbo AB,1634
"Ejendal AB, Per-Olof",1481
Dellner Couplers AB,1476
HMB Construction AB,1391
Bergkvist-Insjön AB,1380
Siljan Group AB,1363
Borlänge Kommuns Förvaltnings AB,1352
FM Mattsson Mora Group AB,1313
