Characteristic,Risk index score
Haiti,8.15
Cayman Islands,7.64
Nicaragua,6.78
Venezuela*,6.56
Paraguay*,6.45
Bahamas,6.43
Bolivia*,6.2
Jamaica,5.99
Panama,5.96
Barbados,5.87
Belize*,5.64
Honduras,5.54
Guyana*,5.4
Turks and Caicos,5.35
Aruba*,5.34
Mexico,5.2
Guatemala,5.1
Argentina*,5.08
Antigua and Barbuda,5.07
Dominican Republic,5.05
Brazil*,5.02
Bermuda,4.91
Ecuador*,4.89
El Salvador*,4.87
Costa Rica,4.76
Trinidad and Tobago,4.75
Colombia,4.62
Peru,4.53
St. Vincent and the Grenadines*,4.48
St. Lucia*,4.25
Grenada*,4.12
Uruguay,3.94
Dominica*,3.88
Chile*,3.82
