Characteristic,HFCE in million Australian dollars
Q4 2019,277811
Q3 2019,275794
Q2 2019,274060
Q1 2019,271580
Q4 2018,269454
Q3 2018,267426
Q2 2018,265282
Q1 2018,262553
Q4 2017,259789
Q3 2017,256034
Q2 2017,253693
Q1 2017,250899
Q4 2016,248944
Q3 2016,246618
Q2 2016,244617
Q1 2016,242896
Q4 2015,240918
Q3 2015,238818
Q2 2015,235763
Q1 2015,233168
Q4 2014,231129
Q3 2014,229114
Q2 2014,227152
Q1 2014,225241
Q4 2013,222622
Q3 2013,219963
Q2 2013,216030
Q1 2013,214513
Q4 2012,212219
Q3 2012,210876
Q2 2012,208561
Q1 2012,205786
