Characteristic,Number of copies sold*
Corriere della Sera,204082
La Repubblica,158328
La Stampa,98846
Avvenire,95855
La Gazzetta dello Sport (monday's edition),87800
Il Sole 24 Ore,83918
La Gazzetta dello Sport,78148
Il Resto del Carlino,77083
Il Messaggero,61760
Il Fatto Quotidiano,52444
La Nazione,52324
Il Giornale,46227
Corriere dello Sport  (monday's edition),44475
Il Gazzettino,44215
Messaggero Veneto,37026
Tuttosport,36564
Dolomiten,36192
Tuttosport (monday's edition),35600
Il Secolo XIX,30266
Il Giorno,23220
