Characteristic,Number of followers in millions
Los Angeles Lakers,39.7
Golden State Warriors,31.28
Chicago Bulls,26.54
Miami Heat,23.58
Houston Rockets,20.29
Cleveland Cavaliers,19.25
Boston Celtics,17.06
Oklahoma City Thunder,14.17
San Antonio Spurs,13.36
New York Knicks,10.28
Sacramento Kings,10.12
LA Clippers,8.01
Toronto Raptors,7.78
Dallas Mavericks,7.41
Indiana Pacers,6.15
Philadelphia 76ers,5.8
Brooklyn Nets,5.62
Washington Wizards,5.61
Portland Trail Blazers,5.36
Milwaukee Bucks,5.32
Orlando Magic,5.26
Minnesota Timberwolves,4.55
New Orleans Pelicans,4.47
Phoenix Suns,4.24
Atlanta Hawks,4.04
Denver Nuggets,4.01
Charlotte Hornets,3.83
Detroit Pistons,3.82
Memphis Grizzlies,3.75
Utah Jazz,3.67
