Company (Country of origin),Percentage of total retail revenue
Shop Direct Group (United Kingdom),100%
Amazon.com (United States),100%
Vipshop Holdings (China),100%
JD.com Inc. (China),100%
Zalando SE (Germany),100%
Otto GmbH & Co KG (Germany),68%
Liberty Interactive Corporation (United States),51.5%
Home Retail Group PLC (United Kingdom),47.4%
Apple Inc. (United States),46.5%
Suning Commerce Group Co. Ltd. (China),37.1%
John Lewis Partnership plc (United Kingdom),20.2%
"Nordstrom, Inc. (United States)",20.1%
Macy's Inc. (United States),17.9%
Kohl's Corporation (United States),14.6%
Best Buy Co. Inc. (United Kingdom),10.1%
Tesco PLC (UK),8.1%
Casino Guichard-Perrachon S.A. (France),7.3%
The Home Depot Inc. (United States),5.3%
Costco Wholesale Operation (United States),3%
Wal-Mart Stores (United States),2.8%
