Characteristic,Share of population
"March 22, 2020",22.3
"March 21, 2020",21.9
"March 20, 2020",21.1
"March 19, 2020",20.5
"March 18, 2020",20.1
"March 17, 2020",19.6
"March 16, 2020",18.7
"March 15, 2020",18.3
"March 14, 2020",16.8
"March 13, 2020",17.1
"March 12, 2020",17.5
"March 11, 2020",17.1
"March 10, 2020",17.1
"March 9, 2020",17.2
"March 8, 2020",17.8
"March 7, 2020",16.4
"March 6, 2020",16.7
"March 5, 2020",17.0
"March 4, 2020",17.2
"March 3, 2020",17.4
"March 2, 2020",18.0
"March 1, 2020",18.8
