Company (Country of origin),Billion U.S. dollars
Schwarz Unternehmenstreuhand KG (Germany),126.12
Aldi Einkauf GmbH & Co. oHG (Germany)*,106.33
Tesco PLC (UK),81.35
Ahold Delhaize (Netherlands),74.16
Edeka Group (Germany)* **,61.22
Rewe Group (Germany)**,55.77
Auchan Holding SA (France),51.26
Centres Distributeurs E. Leclerc (France)* **,43.43
LVMH Moët Hennessy-Louis Vuitton S.A. (France),41.81
Casino Guichard-Perrachon S.A. (France),38.78
J Sainsbury plc (UK),36.3
ITM Developpement International (Intermarche; France)* **,35.44
X5 Retail Group N.V.,26.79
"Mercadona, SA (Spain)",26.15
Metro AG (Germany)*,25.35
Migros-Genossenschafts Bund (Switzerland)* **,24.97
Coop Group (Switzerland)* **,23.34
"Systeme U, Centrale Nationale (France)* **",22.92
Wm Morrison Supermarkets PLC (UK),22.4
"Conad Consorzio Nazionale, Dettaglianti  Soc. Coop. a.r.l.* **",14.3
