Characteristic,Inflation rate compared to previous year
2026*,2.25%
2025*,2.25%
2024*,2.25%
2023*,2.18%
2022*,2.15%
2021*,2.39%
2020*,2.92%
2019,2.75%
2018,2.33%
2017,3.09%
2016,0.84%
2015,2.48%
2014,0.8%
2013,1.46%
2012,1.35%
2011,0.87%
2010,2.76%
2009,4.3%
2008,4.84%
2007,3.94%
2006,2.04%
2005,1.2%
2004,1.42%
2003,3.02%
2002,1.96%
2001,3.58%
2000,2.54%
1999,2%
1998,3.56%
1997,2.81%
1996,0.93%
1995,2.23%
1994,2.3%
1993,3.57%
1992,4.06%
1991,6.47%
1990,4.76%
1989,7.75%
1988,8.76%
1987,16.04%
1986,4.77%
