Characteristic,Box office gross in million U.S. dollars
Avengers: Endgame (2019),357.1
Avengers: Infinity War (2018),257.7
Marvel’s The Avengers (2012),207.44
Black Panther (2018),202.0
Avengers: Age of Ultron (2015),191.27
Captain America: Civil War (2016),179.14
Iron Man 3 (2013),174.14
Captain Marvel (2019),153.43
Guardians of the Galaxy Vol. 2 (2017),146.51
Iron Man 2 (2010),128.12
Thor: Ragnarok (2017),122.74
Spider-Man: Homecoming (2017),117.03
Iron Man (2008),98.61
Captain America: The Winter Soldier (2014),95.02
Guardians of the Galaxy (2014),94.32
Spider-Man: Far From Home (2019),92.58
Thor: The Dark World (2013),85.74
Doctor Strange (2016),85.06
Ant-Man and the Wasp (2018),76.03
Thor (2011),65.72
Captain America: The First Avenger (2011),65.06
Ant-Man (2015),57.23
The Incredible Hulk (2008),55.41
