Characteristic,Venue construction costs in million U.S. dollars
"Texas Stadium, 2009",1150.0
"Lucas Oil Stadium, 2008",750.0
"Soldier Field, 2003",660.0
"Lincoln Financial Field, 2003",512.0
"University of Phoenix Stadium, 2006",455.0
"Paul Brown Stadium, 2000",453.0
"Ford Field, 2002",430.0
"Arrowhead Stadium, 2009",375.0
"INVESCO Field at Mile High, 2001",364.2
"Qwest Field, 2002",360.0
"Reliant Stadium, 2002",352.0
"Gilette Stadium, 2002",325.0
"Cleveland Browns Stadium, 1999",315.0
"Lambeau Field, 2003",295.0
"LP Field, 1999",292.0
"Heinz Field, 2001",281.0
"Edward Jones Dome, 1995",280.0
"FedExField, 1997",250.5
"LandShark Stadium, 2007",250.0
"Bank of America Stadium, 1996",247.0
"M&T Bank Stadium, 1998",229.0
"Georgia Dome, 1992",214.0
"Louisiana Superdome, 2007",210.0
"Oakland-Alameda County Coliseum, 1996",200.0
"Raymond James Stadium, 1998",168.0
"Jacksonville Municipal Stadium, 1995",130.0
"Qualcomm Stadium, 1997",78.0
"Ralph Wilson Stadium, 1999",63.0
