Characteristic,Gross written premiums in million Croatian kuna
Motor vehicle liability insurance,596.23
Insurance of land motor vehicles,348.2
Other property insurance lines,280.47
Insurance against fireand natural disasters,259.86
Health insurance,188.12
Other liability insurance lines,177.16
Personal accident insurance,138.54
Credit insurance,89.62
Insurance of vessels,54.66
Insurance of miscellaneousfinancial losses,53.48
Assistance (travel insurance),37.5
Insurance of goods in transit,17.5
Insurance of liability arising outof use of vessels,7.24
Suretyship insurance,6.31
Insurance of aircrafts,6.15
Insurance of legal protection,2.64
Insurance of railway locomotivesand rolling stock,1.78
Aircraft liability insurance,1.01
