Characteristic,Crude birth rate
2020,7.5
2015,8.4
2010,8.7
2005,8.9
2000,9.4
1995,9.8
1990,11.1
1985,12.8
1980,15.1
1975,18.9
1970,17.9
1965,17.5
1960,18.2
1955,23.6
1950,29.45
1945,28.73
1940,28.94
1935,31.6
1930,33.44
1925,34.68
1920,33.68
1915,34.36
1910,33.42
1905,32.4
1900,31.52
1895,29.0
1890,28.8
1885,25.9
1880,24.5
1875,25.0
1870,29.9
1865,33.85
1860,34.05
1855,33.67
1850,33.29
1845,32.91
1840,32.55
1835,32.39
1830,32.26
1825,32.12
1820,31.98
1815,31.82
1810,31.07
1805,30.18
1800,29.61
