Characteristic,Market value in million euros
Robert Lewandowski,90.0
Piotr Zielinski,32.0
Wojciech Szczesny,20.0
Arkadiusz Milik,20.0
Grzegorz Krychowiak,18.0
Kamil Glik,18.0
Karol Linetty,15.0
Bartosz Bereszynski,12.0
Lukasz Teodorczyk,7.5
Kamil Grosicki,7.0
Dawid Kownacki,7.0
Lukasz Fabianski,5.0
Jan Bednarek,5.0
Lukasz Piszczek,4.0
Maciej Rybus,3.2
Jacek Goralski,2.5
Michal Pazdan,2.0
Rafal Kurzawa,2.0
Artur Jedrzejczyk,1.5
Jakub Blaszczykowski,1.0
Thiago Cionek,0.8
Bartosz Bialkowski,0.75
Slawomir Peszko,0.3
