Characteristic,Inflation rate compared to previous year
2026*,2.56%
2025*,2.4%
2024*,1.76%
2023*,2.29%
2022*,3.43%
2021*,-0.15%
2020,0.24%
2019,3.47%
2018,6.78%
2017,7.2%
2016,-0.62%
2015,0.05%
2014,1.17%
2013,2.11%
2012,1.15%
2011,6.27%
2010,3.54%
2009,1.43%
2008,10.45%
2007,5.84%
2006,6.15%
2005,8.67%
2004,10.97%
2003,11.64%
2002,10.36%
2001,8.29%
2000,6.33%
1999,4.46%
1998,3.27%
1997,1.9%
1996,2.67%
1995,-0.48%
1994,3.92%
1993,1.81%
1992,8.6%
1991,13.92%
1990,5.63%
1989,3.97%
1988,10.33%
1987,7.7%
1986,29.87%
