Characteristic,Gross domestic product in billion U.S. dollars
2026*,50.59
2025*,47.95
2024*,45.45
2023*,42.95
2022*,40.18
2021*,37.84
2020*,35.88
2019,38.15
2018,40.39
2017,39.01
2016,36.05
2015,36.16
2014,40.28
2013,38.74
2012,33.31
2011,33.7
2010,27.11
2009,22.34
2008,24.58
2007,17.86
2006,13.43
2005,10.74
2004,9.62
2003,7.69
2002,7.2
2001,8.5
2000,8.86
1999,8.84
1998,9.26
1997,9.97
1996,9.79
1995,9.06
1994,7.87
1993,7.25
1992,7.16
1991,6.98
1990,4.9
1989,4.05
1988,5.58
1987,4.22
1986,5.03
