Characteristic,Number of affected brands
Oct '20,532
July '20,478
Apr '20,364
Jan '20,374
Oct '19,333
Jul '19,444
Apr '19,341
Jan '19,327
Oct '18,293
Jul '18,231
Apr '18,274
Jan '18,235
Oct '17,348
Jul '17,277
Apr '17,460
Jan '17,424
Oct '16,357
Jul '16,358
Apr '16,411
Jan '16,431
Oct '15,391
Jul '15,434
Apr '15,393
Jan '15,420
Oct '14,271
Jul '14,361
Apr '14,332
Jan '14,384
Oct '13,350
Jul '13,390
Apr '13,441
Jan '13,402
Oct '12,401
Jul '12,426
Apr '12,428
Jan '12,370
Oct '11,311
Jul '11,317
Apr '11,333
Jan '11,335
Oct '10,317
Jul '10,274
Apr '10,270
Jan '10,265
Oct '09,356
Jul '09,261
Apr '09,273
Jan '09,294
