Characteristic,Gross domestic product in billion U.S. dollars
2026*,806.04
2025*,767.05
2024*,730.12
2023*,695.33
2022*,661.24
2021*,625.95
2020*,537.61
2019,531.28
2018,555.46
2017,541.02
2016,515.66
2015,505.1
2014,581.96
2013,586.84
2012,552.48
2011,574.09
2010,495.81
2009,436.54
2008,517.71
2007,491.26
2006,423.09
2005,392.22
2004,385.12
2003,334.34
2002,266.85
2001,242.4
2000,262.83
1999,274.07
1998,270.81
1997,268.15
1996,291.75
1995,267.31
1994,229.03
1993,212.95
1992,283.23
1991,272.21
1990,259.9
1989,216.69
1988,205.88
1987,181.99
1986,149.63
