Characteristic,Number of games won
Cy Young,511
Walter Johnson,417
Pete Alexander,373
Christy Mathewson,373
Pud Galvin,365
Warren Spahn,363
Kid Nichols,362
Greg Maddux,355
Roger Clemens,354
Tim Keefe,342
Steve Carlton,329
John Clarkson,328
Eddie Plank,326
Nolan Ryan,324
Don Sutton,324
Phil Niekro,318
Gaylord Perry,314
Tom Seaver,311
Old Hoss Radbourn,310
Mickey Welch,307
Tom Glavine,305
Randy Johnson,303
Lefty Grove,300
Early Wynn,300
Bobby Mathews,297
Tommy John,288
Bert Blyleven,287
Robin Roberts,286
Fergie Jenkins,284
Tony Mullane,284
