Characteristic,Share of GDP
Cuba,11.19%
Argentina,9.62%
Brazil,9.51%
Uruguay,9.2%
Chile,9.14%
Nicaragua,8.56%
Ecuador,8.14%
Suriname,7.97%
Haiti,7.69%
Colombia,7.64%
Costa Rica,7.56%
Panama,7.27%
El Salvador,7.11%
Honduras,7.05%
Trinidad and Tobago,6.93%
Paraguay,6.65%
Dominica,6.59%
Barbados,6.56%
Bolivia,6.3%
Bahamas,6.25%
Jamaica,6.06%
Guyana,5.94%
Dominican Republic,5.73%
Guatemala,5.71%
Belize,5.69%
Mexico,5.37%
Saint Kitts and Nevis,5.31%
Peru,5.24%
Antigua and Barbuda,5.23%
Saint Vincent and the Grenadines,4.47%
Grenada,4.46%
Saint Lucia,4.4%
Venezuela,3.56%
