Characteristic,Number of executions
Texas,569
Virginia,113
Oklahoma,112
Florida,99
Missouri,90
Georgia,76
Alabama,67
Ohio,56
North Carolina,43
South Carolina,43
Arizona,37
Arkansas,37
Louisiana,28
Mississippi,21
Indiana,20
Delaware,16
California,13
Tennessee,13
Illinois,12
Nevada,12
Utah,7
Maryland,5
Washington,5
Nebraska,4
South Dakota,5
U.S. Federal Gov't,11
Idaho,3
Kentucky,3
Montana,3
Pennsylvania,3
Oregon,2
Colorado,1
Connecticut,1
New Mexico,1
Wyoming,1
