Characteristic,GDP in billion U.S. dollars
2026*,1824.05
2025*,1769.03
2024*,1715.98
2023*,1644.73
2022*,1571.1
2021*,1461.55
2020,1278.21
2019,1393.64
2018,1422.8
2017,1312.08
2016,1232.57
2015,1195.72
2014,1371.58
2013,1355.16
2012,1325.58
2011,1480.45
2010,1423.27
2009,1489.85
2008,1631.69
2007,1474.18
2006,1260.47
2005,1154.35
2004,1068.57
2003,907.26
2002,708.26
2001,627.83
2000,598.63
1999,635.97
1998,618.41
1997,589.38
1996,640.03
1995,613.95
1994,531.14
1993,529.32
1992,630.12
1991,576.45
1990,535.65
1989,412.59
1988,374.07
1987,318.39
1986,251.3
