Industry,Real GDP per hour worked in chained 2012 Canadian dollars
Mining and oil and gas extraction,281.3
Non-profit institutions,187.9
Utilities,184.6
"Real estate, rental and leasing",134.5
Information and cultural industries,101.4
"Finance and insurance, and holding companies",72.6
Wholesale trade,64.6
Manufacturing,63.7
All industries,60.0
"Agriculture, forestry, fishing and hunting",55.2
Government sector,53.2
"Professional, scientific and technical services",51.5
Construction,50.0
Transportation and warehousing,49.9
Health care and social assistance,45.6
"Administrative and support, waste management and remediation services",33.8
Retail trade,32.2
"Arts, entertainment and recreation",28.3
Other private services,23.6
Accommodation and food services,22.9
Educational services,22.0
