NBA player,Number of points scored
Kareem Abdul-Jabbar,38387
Karl Malone,36928
LeBron James*,35367
Kobe Bryant,33643
Michael Jordan,32292
Dirk Nowitzki,31560
Wilt Chamberlain,31419
Shaquille O'Neal,28596
Moses Malone,27409
Elvin Hayes,27313
Carmelo Anthony*,27370
Hakeem Olajuwon,26946
Oscar Robertson,26710
Dominique Wilkins,26668
Tim Duncan,26496
Paul Pierce,26397
John Havlicek,26395
Kevin Garnett,26071
Vince Carter,25728
Alex English,25613
Reggie Miller,25279
Jerry West,25192
Patrick Ewing,24815
Ray Allen,24505
Allen Iverson,24368
Kevin Durant*,23883
Charles Barkley,23757
Robert Parish,23334
Adrian Dantley,23177
Dwyane Wade,23165
