Characteristic,Number of applicants
In total,22314
University of Helsinki,4343
University of Tampere,2983
University of Turku,2505
University of Jyväskylä,2404
University of Eastern Finland,2264
University of Oulu,2107
Aalto University,1930
Tampere University of Technology,1232
Åbo Akademi University,967
University of Vaasa,800
University of Lapland,669
Lappeenranta University of Technology,540
Hanken School of Economics,299
University of Arts Helsinki,291
National Defence University,148
