Characteristic,Inflation rate compared to previous year
2026*,2.6%
2025*,2.6%
2024*,2.4%
2023*,2.1%
2022*,2.7%
2021*,-2.5%
2020,1.48%
2019,2.2%
2018,3.67%
2017,1.3%
2016,0.13%
2015,1.92%
2014,-1.24%
2013,-0.21%
2012,6.19%
2011,2.88%
2010,-0.2%
2009,14.64%
2008,6.27%
2007,4.48%
2006,3.23%
2005,7.82%
2004,7.85%
2003,4.37%
2002,7.43%
2001,1.89%
2000,-0.17%
1999,0.37%
1998,5.4%
1997,6.9%
1996,5.42%
1995,-2.93%
1994,12.09%
1993,1.71%
1992,9.03%
1991,-1.82%
1990,8.48%
1989,12.25%
1988,3.19%
1987,11.16%
1986,2.68%
