Characteristic,Average player salary in million U.S. dollars
Oklahoma City Thunder,9.43
Golden State Warriors,9.92
Washington Wizards,8.5
Toronto Raptors,8.15
Houston Rockets,9.16
Miami Heat,9.3
Charlotte Hornets,8.28
Minnesota Timberwolves,8.27
Boston Celtics,7.81
Portland Trail Blazers,10.04
Cleveland Cavaliers,9.21
Memphis Grizzlies,7.09
San Antonio Spurs,7.88
Detroit Pistons,8.47
Utah Jazz,7.74
Denver Nuggets,9.31
New Orleans Pelicans,7.73
Los Angeles Clippers,8.67
Orlando Magic,9.48
Milwaukee Bucks,8.17
Chicago Bulls,7.45
Dallas Mavericks,7.92
Philadelphia 76ers,8.62
Indiana Pacers,7.46
Phoenix Suns,7.83
Los Angeles Lakers,7.86
New York Knicks,7.08
Brooklyn Nets,8.04
Sacramento Kings,7.88
Atlanta Hawks,7.48
