Characteristic,Individual income taxes,Corporation income taxes,Social insurance and retirement receipts,Excise taxes,Other
'25*,50.9%,9.1%,34.3%,1.9%,3.8%
'24*,50.4%,9.2%,34.4%,2%,4%
'23*,50.1%,8.8%,34.9%,2.1%,4.1%
'22*,50.1%,7.9%,35.4%,2.2%,4.3%
'21*,50%,7.4%,35.4%,2.3%,4.8%
'20*,48.9%,7.1%,35.4%,2.6%,6%
'19,49.6%,6.6%,35.9%,2.9%,5%
'18,50.6%,6.1%,35.2%,2.9%,5.3%
'17,47.9%,9%,35%,2.5%,5.6%
'16,47.3%,9.2%,34.1%,2.9%,6.5%
'15,47.4%,10.6%,32.8%,3%,6.2%
'14,46.2%,10.6%,33.9%,3.1%,6.3%
'13,47.4%,9.9%,34.2%,3%,5.5%
'12,46.2%,9.9%,34.5%,3.2%,6.2%
'11,47.4%,7.9%,35.5%,3.1%,6.1%
'10,41.5%,8.9%,40%,3.1%,6.5%
