Characteristic,2013,2014,2015,2016
The Sun,11.4%,10.3%,8.7%,7.5%
Daily Mail,8.2%,7.2%,6.8%,6.3%
Metro,6.3%,6.3%,6.3%,5.5%
Daily Mirror/Record,6.2%,5.6%,4.5%,4.1%
Daily Mirror,4.8%,4.4%,3.6%,3.4%
London Evening Standard,2.9%,3.4%,3.4%,3.2%
The Daily Telegraph,2.6%,2.3%,2.2%,2.2%
The Times,2.2%,2.1%,2%,1.9%
The Guardian,1.6%,1.4%,1.6%,1.6%
Daily Express,2.1%,2.1%,1.5%,1.6%
Daily Star,2.2%,2%,1.6%,1.5%
i,1.1%,1.1%,1%,1%
Daily Record,1.4%,1.2%,1%,0.8%
The Independent,0.7%,0.5%,0.5%,-
