Characteristic,Losses in million U.S. dollars
"United States (Sept. 11, 2001)*",27125
"United Kingdom (Apr. 24, 1993)*",1310
"United Kingdom (Jun. 15, 1996)*",1074
"United Kingdom (Apr. 10, 1992)*",969
"United States (Feb. 26, 1993)*",903
"Sri Lanka (Jul. 24, 2001)*",575
"United Kingdom (Feb. 9, 1996)*",374
"North Atlantic (Jun. 23, 1985)*",234
"United States (Apr. 19, 1995)*",210
"Jordan (Sept. 12,1970)*",183
"Egypt (Sept. 6, 1970)*",160
"United Kingdom (Apr. 11, 1992)*",138
"India (Nov. 26, 2008)*",122
"Germany (Mar. 27, 1993)*",102
"Spain (Dec. 30, 2006)*",84
"United Kingdom (Dec. 21, 1988)*",82
"Sri Lanka (Jul. 25, 1983 )*",68
"United Kingdom (Jul. 7, 2005)*",67
"Comoros (Nov. 23, 1996)*",65
"Argentina (Mar. 17, 1992)*",55
