Characteristic,Inflation rate compared to previous year
2026*,2.01%
2025*,1.98%
2024*,1.71%
2023*,1.54%
2022*,1.44%
2021*,1.08%
2020,0.79%
2019,1.52%
2018,1.74%
2017,1.26%
2016,0.9%
2015,1.18%
2014,0.77%
2013,0.98%
2012,3.23%
2011,2.51%
2010,2.04%
2009,1.84%
2008,4.68%
2007,0.7%
2006,2.58%
2005,2.52%
2004,2.73%
2003,1.93%
2002,2.61%
2001,2.51%
2000,3.04%
1999,2.29%
1998,3.69%
1997,3.92%
1996,1.96%
1995,3.97%
1994,4.13%
1993,4.03%
1992,1.85%
1991,2.55%
1990,2.98%
1989,0.87%
1988,0.95%
1987,0.42%
1986,2.03%
