Characteristic,Number of hospital beds
Total,265275
Tamil Nadu,40179
Uttar Pradesh,39104
Karnataka,21176
West Bengal,19684
Kerala,16865
Rajasthan,12540
Maharashtra,12398
Gujarat,11688
Assam,10944
Madhya Pradesh,9900
Telangana,7668
Haryana,6690
Andhra Pradesh,6480
Odisha,6339
Jharkhand,5842
Punjab,5805
Himachal Pradesh,5665
Bihar,5510
Chhattisgarh,5070
Uttarakhand,3284
Arunachal Pradesh,2136
Tripura,1982
Meghalaya,1970
Goa,1397
Jammu & Kashmir,1221
Manipur,730
Nagaland,630
Mizoram,604
Andaman and Nicobar,575
Dadra & Nagar Haveli,303
Lakshadweep,300
Sikkim,260
Daman & Diu,240
Puducherry,96
