Characteristic,Million unique visitors
Google Play Games,18.74
Pokémon GO,10.66
Candy Crush Saga,10.23
GameSpot (main),10.05
IGN,9.56
Wordscapes,8.91
Lucky Money,8.83
Game Launcher (for Samsung),6.97
Words With Friends,6.95
Solitaire by MobilityWare,6.85
Candy Crush Soda Saga,5.95
Steam Community Activity,5.31
Coin Master,4.83
Trivia Today,4.37
Nintendo,4.36
Homescapes,4.35
Xbox,4.35
Zynga (main),4.3
Gardenscapes - New Acres,4.26
Mario Kart Tour,4.21
Kotaku,3.92
Gamepedia,3.72
Cookie Jam,3.49
POP! Slots,3.46
Toon Blast,3.43
Game Tools (for Samsung),3.43
GamesRadar+,3.3
Lucky Time,3.28
Sudoku,3.05
EA,3.04
