Characteristic,Share of respondents*
Foods are more expensive,86
Skepticism about these foods,72
Preference of basic foods,71
Taste,70
Conflicting information on these foods,64
Lack of knowledge on which functional foods to buy for desired health benefits,63
Lack of knowledge on amount of functional foods to eat for desired health benefits,63
Non-purchase decision due to uncertainties of the health claim on the food package,58
Vitamins and supplements provide more nutritional value,55
Confidence in the science-based health claims,54
Availability,54
Vitamins and supplements provide the exact amount I need,53
Lack of desire to try new foods,50
Uncertainty of how to prepare foods,48
My diet is already healthful enough,48
Mental effort it takes to learn about these foods,47
