Characteristic,Number of victims
Landslide in the USSR (March 1989),8000
"Landslide in China (October 6, 1990)",5105
"Landslide in Guatemala (January 4, 2009)",3028
"Landslide in Colombia (December 18, 1993)",2411
"Landslide in Canada (November 12, 1955)",2006
"Avalanche in Russia (November 26, 1992)",1750
"Landslide in Canada (May 4, 1971)",1500
"Avalanche in Turkey (January 1, 1992)",1069
"Landslide in Papua New Guinea (September 6, 1988)",1000
"Landslide in Indonesia (May 4, 1987)",701
