Characteristic,Revenue in million euros
2020-21 Q4,501.8
2020-21 Q3,965.1
2020-21 Q2,329.7
2020-21 Q1,427.3
2019-20 Q4,481.1
2019-20 Q3,416.2
2019-20 Q2,334.1
2019-20 Q1,363.4
2018-19 Q4,516.5
2018-19 Q3,562.0
2018-19 Q2,367.1
2018-19 Q1,400.0
2017-18 Q4,540.7
2017-18 Q3,725.0
2017-18 Q2,264.2
2017-18 Q1,202.1
2016-17 Q4,648.6
2016-17 Q3,529.9
2016-17 Q2,142.2
2016-17 Q1,139.1
2015-16 Q4,624.9
2015-16 Q3,561.8
2015-16 Q2,110.7
2015-16 Q1,96.6
2014-15 Q4,169.9
2014-15 Q3,809.7
2014-15 Q2,124.1
2014-15 Q1,360.1
2013-14 Q4,194.1
2013-14 Q3,520.0
2013-14 Q2,217.0
2013-14 Q1,76.0
2012-13 Q4,175.0
2012-13 Q3,802.0
2012-13 Q2,148.0
2012-13 Q1,131.0
2011-12 Q4,161.0
2011-12 Q3,652.0
2011-12 Q2,146.0
2011-12 Q1,103.0
2010-11 Q4,178.0
2010-11 Q3,600.0
