Characteristic,Score (0-100)
Chile,72.6
Mexico,72.4
Puerto Rico,70.1
Colombia,70.1
Jamaica,69.7
Costa Rica,69.2
Peru,68.7
Panama,66.6
El Salvador,65.3
St. Lucia,63.7
Guatemala,62.6
Uruguay,61.5
Trinidad and Tobago,61.3
Dominica,60.5
Antigua and Barbuda,60.3
Dominican Republic,60.0
Bahamas,59.9
Brazil,59.1
Paraguay,59.1
Argentina,59.0
Barbados,57.9
Ecuador,57.7
St. Vincent and the Grenadines,57.1
Honduras,56.3
Guyana,55.5
Belize,55.5
St. Kitts and Nevis,54.6
Nicaragua,54.4
Grenada,53.4
Bolivia,51.7
Suriname,47.5
Haiti,40.7
Venezuela,30.2
