Characteristic,Net income/loss in billion yen
2021 Q1,46.03
2020 Q4 *,-29.78
2020 Q3,16.3
2020 Q2,19.8
2020 Q1,49.9
2019 Q4,3.28
2019 Q3,39.84
2019 Q2,19.1
2019 Q1,53.4
2018 Q4,6.5
2018 Q3,22.31
2018 Q2,32.25
2018 Q1,46.62
2017 Q4,-2.21
2017 Q3,19.6
2017 Q2,19.45
2017 Q1,19.91
2016 Q4,11.21
2016 Q3,7.64
2016 Q2,7.56
2016 Q1,-6.27
2015 Q4,4.4
2015 Q3,19.18
2015 Q2,13.01
2015 Q1,18.54
2014 Q4,-4.5
2014 Q3,13.59
2014 Q2,4.09
2014 Q1,16.14
2013 Q4,-4.44
2013 Q3,8.05
2013 Q2,11.37
2013 Q1,15.15
2012 Q4,0.55
2012 Q3,7.35
2012 Q2,7.38
2012 Q1,13.0
2011 Q4,5.82
2011 Q3,7.23
2011 Q2,5.12
2011 Q1,7.59
