Characteristic,Share of brewers regularly producing
Pale golden bitter / golden ale,87.6%
Stout / porter,80.2%
Strong bitter / IPA,77.3%
Traditional brown / copper / amber bitter,69.9%
Bottle-conditional beer,39.2%
Speciality-ingredient beer,38.1%
"Special hop beer (eg. single variety, green)",36.6%
Craft keg beer,35.4%
Traditional mild,33.6%
Lager-style beer,28.3%
Strong mild / old ale,23.9%
Strong ale / barley wine,20.6%
Local ingredients beer,18.6%
Foreign-style ale,18.3%
Unfined cask beer,18%
Themed series of beers,18%
Wheat beer,17.4%
Super-premium bottled beer,14.2%
Gluten-free beer,4.4%
Low alcohol beer (below 2.8 percent),2.9%
